COM,NCOM,NREG,NDEP,F65-79,F80+,H65-79,H80+,latitude,longitude
1089,Château-Gaillard,Auvergne-Rhône-Alpes,Ain,123,34,100.0,26.0,45.9730390239,5.30754273532
1090,Châtenay,Auvergne-Rhône-Alpes,Ain,27,11,36.0,5.0,46.0259402155,5.2048590395
1092,Châtillon-la-Palud,Auvergne-Rhône-Alpes,Ain,113,32,100.0,30.0,45.9748017433,5.2416027725
1093,Châtillon-sur-Chalaronne,Auvergne-Rhône-Alpes,Ain,462,381,346.0,172.0,46.1232390685,4.95810003714
1094,Chavannes-sur-Reyssouze,Auvergne-Rhône-Alpes,Ain,54,31,49.0,21.0,46.4379785193,5.00693749662
1095,Nivigne et Suran,Auvergne-Rhône-Alpes,Ain,46,22,51.0,15.0,46.2750157946,5.41649423093
1096,Chaveyriat,Auvergne-Rhône-Alpes,Ain,50,28,57.0,18.0,46.1991513767,5.0564069258
1098,Chazey-Bons,Auvergne-Rhône-Alpes,Ain,86,32,80.0,29.0,45.7925770617,5.68477063188
1099,Chazey-sur-Ain,Auvergne-Rhône-Alpes,Ain,81,57,90.0,31.0,45.8929448968,5.25528498524
1100,Cheignieu-la-Balme,Auvergne-Rhône-Alpes,Ain,12,11,20.0,5.0,45.8227204334,5.6050023969
1101,Chevillard,Auvergne-Rhône-Alpes,Ain,7,6,12.0,1.0,46.1103512578,5.58116056005
1102,Chevroux,Auvergne-Rhône-Alpes,Ain,41,26,48.0,15.0,46.38249255,4.96288275972
1103,Chevry,Auvergne-Rhône-Alpes,Ain,80,28,64.0,12.0,46.283152935,6.04707941462
1104,Chézery-Forens,Auvergne-Rhône-Alpes,Ain,27,18,32.0,7.0,46.222573373,5.87248105275
1104,Chézery-Forens,Auvergne-Rhône-Alpes,Ain,27,18,32.0,7.0,46.222573373,5.87248105275
1105,Civrieux,Auvergne-Rhône-Alpes,Ain,86,25,92.0,24.0,45.922467454,4.88633786877
1106,Cize,Auvergne-Rhône-Alpes,Ain,9,14,10.0,7.0,46.2003848172,5.45082526739
1107,Cleyzieu,Auvergne-Rhône-Alpes,Ain,11,2,16.0,1.0,45.902146623,5.43272695486
1108,Coligny,Auvergne-Rhône-Alpes,Ain,107,107,111.0,48.0,46.3866637865,5.3308227014
1109,Collonges,Auvergne-Rhône-Alpes,Ain,92,22,80.0,16.0,46.1419227898,5.90040256654
